YEAR,TYPE,TITLE_EN,IMAGES/PDF,VIDEOS,AUDIO,TITLE_FR,ARTISTS,DESCRIPTION_EN,DESCRIPTION_FR,RECURRING_TITLE_EN,RECURRING_TITLE_FR,RECURRING_DESCRIPTION_EN,RECURRING_DESCRIPTION_FR,,COMMENTS
2014,EVENT,ETC MEDIA LAUNCH,/EVENTS/2014/Revue_ETC,,,Lancement Revue ETC Media,,"ETC Magazine, from now on known as ETC MEDIA, enthusiastically joins forces with Eastern Bloc for the launch of its next issue, entirely revised in both form and content and dedicated exclusively to new media arts. One of a kind in Quebec, the magazine directs its full attention towards digital technologies, electronics, audio, new media, immersive and interactive practices, cinema, video arts, photography, web art and many other disciplines associated with technological creativity. Working with artistic communities, the magazine focuses on esthetic, sociological, political, technological and scientific repercussions.","La revue ETC, désormais ETC MEDIA, s'associe avec enthousiasme à Eastern Bloc pour procéder au lancement de son prochain numéro entièrement revisité dans sa forme et son contenu, et consacré exclusivement aux arts médiatiques. Unique au Québec, la revue accorde une attention complète aux technologies numériques, de l'électronique, de l'audio, des nouveaux médias, de l'immersif, de l'interactif, du cinéma, de la vidéo, de la photo, du Web et de tant d'autres disciplines liées aux technologies de création. Agissant avec les communautés artistiques, la revue travaille sous l’angle des répercussions esthétiques, sociologiques, politiques, technologiques, et scientifiques.",,,,,,
2008,EVENT,First Year Anniversary Party,/EVENTS/2008/1-year-ann,,,Fête de premier anniversaire,,,,,,,,,
2011,EVENT,Folio Magazine ,x,,,Magazine Folio ,"Paula Alaszkiewicz
Julia Chang
Sarah Cook
Amy Goh
Abby Howard
Daeun Janet Kim
Whitney Mallett
Michael Marotti
Marie McCulloch
Stuart Mcleod
James Moore
Clara Syme",,"Folio, le magazine des arts visuels de McGill, lance son cinquième numéro. Avec des oeuvres de Paula Alaszkiewicz, Julia Chang, Sarah Cook, Amy Goh, Abby Howard, Daeun Janet Kim, Whitney Mallett, Michael Marotti, Marie McCulloch, Stuart Mcleod, James Moore, et Clara Syme.
",,,,,,
2009,EVENT,Fuck Love: Let's Fuck ,x,,,Fuck Love: Let's Fuck ,,"presented by Against the Wall/Contre le mur.

A night of perverted performances, sexy dance parties, and (multiple) orgasms. The ATW/CLM parties are kink & trans-friendly sex parties. And, for the first time in their history, it will be open to all genders. 

A workshop on how to flirt in a trans positive fashion, performance art, live music, drag show and a dance party featuring DJs.",,,,,,,
2014,EVENT,Fundraiser Event,x,,,Événement de collecte de fonds,"MATHÉMATIQUE
BATAILLE SOLAIRE
KARNEEF
COUNTRY
AZIZ!LIGHTCREW","Eastern Bloc is inviting you to spend your Saturday, September 27th with us! To celebrate the start of the new cultural season and our seventh anniversary, we've put together a wild birthday party: part show, part dance-floor, part bbq, part garage sale!

Our exhibition spaces will be converted into a garage sale, where you'll be able to find all sorts of fun and bizarre items: hi-tech, lo-tech, books, CDs, vinyl, typewriters, clothes, kichen items, but also, a range of AV equipment and electronics from around Eastern Bloc. DIY electronics kits to make your own synths and other fun gadgets, and not to mention, we'll be selling unique prints from Ally Mobbs' installation, Turntablism for the hard of hearing, presented during Sight & Sound 2014.

After your afternoon of shoipping and before a night of partying, join us in our back courtyard for a fun and friendly bbq, the last one before the Fall gets going.","C'est avec plaisir que nous vous invitons à passer la journée du samedi 27 septembre avec nous ! A l'occasion de cette nouvelle rentrée culturelle et de notre 7e anniversaire, nous avons concocté une programmation d'activités diverses: musique et dj, bbq, vente de garage !
 Nos salles d'exposition vont se transformer en lieu de vente de garage. On y trouvera toutes sortes de choses amusantes, bizarres : high-tech, low-tech, livres, CD, vinyles, machines à écrire, vêtements, matériel de cuisine, mais aussi : une palette d'équipements et objets électroniques et audiovisuels d'Eastern Bloc, comme des kits de démarrage de bricolage pour faire des synthés et autres gadgets audio, et ce n'est qu'un exemple, et même : des œuvres imprimées uniques d'Ally Mobbs, suite à sa participation au festival Sight & Sound en mai 2014 avec son installation Turntablism for the hard of hearing.
 Pour reprendre de l'énergie après les achats, et avant une nuit de concerts et danse, nous transformons notre petite cour arrière en lieu convivial de barbecue avant l'automne.


",,,,,,
2014,EVENT,Gaudeamus - Montréal 1: Diego Espinosa,x,,,Gaudeamus - Montréal 1: Diego Espinosa,,,,,,,,,
2009,EVENT,Gaylordorama,x,,,Gaylordorama,,,,,,,,,
2010,EVENT,Genes Genes Genes,/EVENTS/2010/Genes ,,,Genes Genes Genes,"Team Arbutus 
Blue Hawaii
D’eon 
DJ Power of Dreams
Dj Rough Shape 
Jordache Pat 
Postcards 
Waterfront Property ",First special event in Eastern Bloc’s 3-year anniversary series. Guest curators: Philip Karneef & Sebastian Cowan ,Premier événement spécial de la série des 3 ans d’Eastern Bloc. Commissaires invités: Philip Karneef & Sebastian Cowan,,,,,,
2008,EVENT,Ghostship,/EVENTS/2008/Ghostship,,,Ghostship,,,,,,,,,
2010,EVENT,Google Wars,/EVENTS/2010/Google-Wars,,,Google Wars,"Raphaele Bard 
Phil Fish 
Johannes Grenzfurthner 
Jonathan Joseph
Heather Kelley
Alison Louder 
monochrom 
Jon Rafman
Witting Richard ",,,,,,,,
2011,EVENT,Housewarming Party,/EVENTS/2011/Pendaison_crémaillière,,,Pendaison de Crémaillière,"Kelly ANDRES
Amber BERSON
Vincent CHEVALIER
Eliane ELLBOGEN
Thomas FREDERICKS
Kandis FRIESEN
Lisa GAMBLE
Emma GELDART
Blake HARGREAVES
Jonathan LEMIEUX
Danny PERREAULT
Nick RUDZICZ
Samuel ST-AUBIN
Alexander WESTCOTT","HOUSEWARMING PARTY is a weeklong site-specific installation project during which the staff, volunteers, members and past collaborators of Eastern Bloc are invited to show works on the theme of “residence.”
 
Eastern Bloc is turning four and what better way to celebrate than to move in! Very often, it is assumed that the staff lives (or lived) at Eastern Bloc. This is probably because Eastern Bloc is an industrial space and the people who work there are awesome. They do not live here and never have. But this September, everyone is moving in. The artwork, ideas and furniture of Eliane Elbogen, Amber Berson, Emma Geldart, Danny Perreault, Kelly Andres, Jonathan Lemieux, Vincent Chevalier, Kandis Friesen, Mathieu Ball, Nick Rudzicz and Josée Schryer will take up residence at Eastern Bloc for one week.
 
Amongst the works presented are Culinary Cultures by Kelly ANDRES, a plant cloning and exchange installation, where people can work with the artist on a community plant-share-mapping through DIY tissue culture. Andres will be in gallery cloning plants in small jars during set times and will then distribute her clones. As well, Semiotics of my Fridge by Jonathan LEMIEUX, a performance-based video work that exposes the precarious state of an art student’s fridge (or wallet), where Lemieux eats all the food in his fridge, one item at a time. And finally, don’t miss PWIF’d (Places Where I’ve Fuck’d) by Vincent CHEVALIER: a blog that consists of images of places where Chevalier has had sex. The resulting set of images provides a photo-indexical account of Chevalier’s sexual history that consists of a variety of sites, public and private, interior and exterior (pwifd.tumblr.com).
 
This week of installations will allow the visitor to wander the interior of a loft-style living space and to discover many other works, whose titles include: maintenance / d’entretien by Kandis FRIESEN, The American Dream by Nick RUDZICZ, Family Story by Josée Schryer and 24hrs by Amber BERSON, Eliane ELLBOGEN, Emma GELDART and Danny PERREAULT.
 
Finally, on Sunday, September 11th, as of 7pm, Eastern Bloc will host a series of intimate concerts in its ersatz domestic space. Thomas OUELLET FREDERICKS presents a prototype version of his latest project TVDestroy, an interactive performative installation where analog televisions are equipped with a digital signal conversion module to create an audiovisual orchestra. Samuel ST-AUBIN conducts an amplified pillow fight. And Blake HARGREAVES, Lisa GAMBLE and Alexander WESTCOTT perform live experimental electronic and noise sets in the gallery’s kitchen, baby room and living room respectively.
 ","PENDAISON DE CRÉMAILLÈRE est une semaine d'installation in situ pendant laquelle le personnel, les bénévoles, les membres et les collaborateurs antérieurs d'Eastern Bloc sont invités à montrer des œuvres sur le thème de la résidence.
 
Eastern Bloc va fêter ses quatre ans, et la meilleure façon de marquer le coup c'est de s'y installer ! Très souvent, les gens pensent que l’équipe d’Eastern Bloc y vit également. Sans doute parce que c'est un grand espace industriel et que l’équipe est tellement cool. Mais elle n'y vit pas, et ça n'a jamais été le cas. Ceci étant dit, en septembre, elle emménage ! Les œuvres, les idées et le mobilier de Eliane Elbogen, Amber Berson, Emma Geldart, Danny Perreault, Jonathan Lemieux, Kelly Andres, Vincent Chevalier, Kandis Friesen, Mathieu Ball, Nick Rudzicz et Josée Schryer vont s'installer chez Eastern Bloc pendant une semaine.
 
Parmi les œuvres présentées, citons notamment The American Dream de Nick RUDZICZ. C’est un jeu expérimental créé pour l’exposition GAMMA IV, qui explore la palette d’émotions ressenties dans un système d’interactivité limité. C’est en effet l’univers graphique d’une vie de consommateur effréné tout droit sortie de l’époque du jeu abstrait « Atari 2600 ». Ca fonctionne mieux si on n’y comprend rien. Sera également exposée, l’œuvre Semiotics of My Fridge de Jonathan LEMIEUX. Cette captation vidéo (en un plan-séquence) d’une performance montre la précarité de la vie étudiante : l’artiste mange méticuleusement l’ensemble de la nourriture – on ne peut plus hétéroclite – se trouvant à l’intérieur de son frigo. Enfin, ne manquez pas PWIFd (Places Where I've Fuck'd de Vincent CHEVALIER : ce blog montre les endroits où l’artiste à eu des rapports sexuels. Cet index déroutant retrace la frénésie sexuelle de l’artiste à travers une somme d’images de bâtiments, d’hôtels, de maisons ou d’endroits publics (www.pwifd.tumblr.com).
 
Cette semaine d’installation permettra au visiteur de se balader à travers le décor d’un appartement qui semble habité, et de découvrir bien d’autres œuvres, dont voici quelques titres intrigants : Culinary Cultures de Kelly ANDRES, maintenance / d’entretien de Kandis FRIESEN, TVDestroy de Thomas OUELLET FREDERICKS ou encore 24hrs de Amber BERSON, Eliane ELLBOGEN, Emma GELDART et Danny PERREAULT.
 
Finalement, le dimanche 11 septembre, dès 19h, Eastern Bloc accueille une série de concerts intime dans son espace domestique simulé. Thomas OUELLET FREDERICKS présente un prototype de son plus récent projet TVDestroy, une performance interactive où des téléviseurs analogues, équipés d’un module de conversion de signal numérique, créeront un orchestre audiovisuel. Samuel ST-AUBIN dirige une bataille d’oreillers amplifiée. Et Blake HARGREAVES, Lisa GAMBLE et Alexander WESTCOTT performent des sets de noise expérimental dans la cuisine, la chambre d’enfant et le salon d’Eastern Bloc, respectivement.",,,,,,
2013,EVENT,Hub Session,/EVENTS/2013/Hubsession,,,Hub Session,"Ajinai
Jason Arsenault
Hugues Clément
Pierre Constant
Dawaggang
Haiku Design
No Ding Ding Without A Ring
Ouananiche
Claire Payement
Sebastien Rien","Following a presentation in Belgium and in China, musicians, graphic designers, and artists working in multiple mediums, notably video from Quebec, Belgium, China and France, invite the Montreal public for an initial journey in image and music. This is the only opportunity to experience the show in Montreal. 

For this exclusive event, LOJIQ - The Offices jeunesse internationaux du Québec collaborated with Eastern Bloc, a production and exhibition artist-run centre specializing in digital arts. This artist-residency project is the brainchild of LOJIQ, the Bureau International Jeunesse (BIJ), Delegation Wallonie Bruxelles in Beijing and asbl Phase B. After working together in the French community of Belgium in Spring 2011, and China in the fall, the ten artists - three Quebecers, four Belgian-francophones, two from China and one from France - have developed a trans- disciplinary creation at the crossroads of electroacoustic music, media art and other artistic innovations. This trans-disciplinary creation was presented to the public at the end of each residence. 

The philosophy of the project: 
The environments in which they are created shape the development of work as beings. In the evolution of species, a morphological response or adaptation is conceived through the hazardous environment in which it was selected. In art, it is reasonable to suggest that the forms are affected by the contours and the contexts in which they were generated. 

Hub Session is a project whose initial intention was to bring together a range of artists - from diverse cultures and practices - to produce work at the crossroads of mediums. It is clear that the contexts proposed in the two previous residences - China and Belgium - have actually conditioned the proposal. In Montreal, the residency aims to generate a new spatial 
configuration of the work. The gallery at Eastern Bloc will reveal a multitude of possibilities. The rhizomatic use of the space will shape and form the skeleton for the new work. 
","Après une présentation en Belgique et en Chine, des musiciens, graphistes, plasticiens et vidéastes du Québec, de la Communauté française de Belgique, de la Chine et de la France proposent au public montréalais un parcours initiatique en images et en musique qu’on ne pourra expérimenter qu’une seule fois à Montréal.

Pour cet événement exclusif, LOJIQ – Les Offices jeunesse internationaux du Québec se sont associés au centre de production et d’exposition Eastern Bloc, spécialisé en arts numériques. Ce projet de résidence de création est né de l'initiative de LOJIQ, du Bureau International Jeunesse (BIJ), de la Délégation Wallonie Bruxelles à Pékin et de l'asbl Phase B. Après avoir travaillé ensemble en Communauté française de Belgique au printemps 2011, et en Chine à l'automne, les dix artistes, soit trois Québécois, quatre Belges francophones, deux Chinois et un Français, ont élaboré une création transdisciplinaire à la croisée des musiques électro- acoustiques, des arts médiatiques et autres innovations artistiques. Cette création transdisciplinaire a été présentée au public à la fin de chaque résidence. 

La philosophie du projet:
Le développement des œuvres comme des êtres sont modelés par les milieux qui conditionnent leurs existences. Au sein de l'évolution des espèces, une réponse morphologique, une adaptation se conçoit au travers du milieu hasardeux où elle a été sélectionnée. En art, on peut raisonnablement dire que les formes épousent les contours des contextes au sein desquelles elles ont été générées. Hub Session est un projet dont la volonté initiale était de réunir une série d'artistes - issus de cultures et de pratiques diverses - afin de produire une œuvre à la croisée des médiums. Force est de constater que les contextes proposés lors des deux précédentes résidences - en Chine et en Belgique - ont bel et bien conditionné la proposition. À Montréal, la résidence de travail a pour but de générer une toute nouvelle configuration spatiale de l’oeuvre. Les locaux d'Eastern Bloc serviront de révélateur à l'ensemble des potentialités. La diaspora spatiale servira de guide et d'architecture au projet renouvelé et la thématique de la dispersion sera le squelette de cette nouvelle œuvre. 
",,,,,,
2016,EVENT,Ibrida*Pluri II,x,,,Ibrida*Pluri II,GROOP*INDEX,"The artist collective groop*index is pleased to present the second edition of the Ibrida*Pluri festival, a pluridisciplinary event proposing a line-up of local visual and sound artists working together for the first time.
For this edition of the festival, three partners will be presenting a program of short films during the festival : Videographe, Le Groupe Intervention Vidéo (GIV) and filmkool wien (Vienna, Austria). The festival’s program is divided into three components: Exposition, Projection, Performance.","Le collectif d'artistes groop*index est heureux de présenter la 2e édition du Festival Ibrida*Pluri, événement pluridisciplinaire montréalais.
Cette édition, co-produite par Eastern Bloc, rassemblera plusieurs artistes audiovisuel(le)s québécois(es) qui, pour l'occasion, offriront de nouvelles performances audiovisuelles exclusives au festival. Les organisateurs du festival, Sonya Stefan, Samuel Bobony et Guillaume Vallée, ont mis en place différentes performances fantasmées en proposant à plusieurs artistes visuels et sonores de travailler ensemble pour une première fois. Il y a, pour cette édition, 3 structures-partenaires qui présenteront un programme de court-métrages durant le festival : Vidéographe, Le Groupe Intervention Vidéo (GIV) et Filmkoop wien (Vienne, Autriche). Le festival se présente sous trois volets : Exposition, Projection, Performance.

",,,,,,
2017,EVENT,Ibrida*Pluri III,x,,,Ibrida*Pluri III,"LUCY MAY
PAIGE CULLEY
ANDREW TAY
PATRICK CONAN
IVETTA SUN YOUNG KANG
KRISTÍN SCHEVING
THISQUIETARMY
BLACK GIVRE
ALEXANDRE LAROSE
KHÔRA
JUSTINE DURAND
JONATHAN PARANT
JULIE RICHARD
RAPHAEL DEMERS
ME FLOAT
GABRIELLE GODBOUT
VIDÉOGRAPHE
JOEL LAVOIE
VICKY METTLER
CHARLINE DALLY
STEFANIE CASTONGUAY
ERIC BOIVIN
CAROLINE BEETS
ROGER TELLIER CRAIG
ALEX MOSKOS
NIHIL MINUS
RAPHAEL FOISY","For its' 3rd edition, Ibrida*Pluri will take place at artist-run center Eastern Bloc on April 27th and 28th, 2017.

Twenty artists have been matched in duos and trios by organizers Sonya Stefan, Guillaume Vallée and Samuel Bobony, with the intention to juxtapose between approach and outcome. 

Each artist has agreed to work with someone opposite to their regular practice, so to inspire hybridity and premiere an AudioVisual work during the festival.

This edition is co-produced by Eastern Bloc and gathers international and local artists who will offer exclusive performances during the two-day festival. Each evening also offers a short film screening at 20h by partners Vidéographe  and Kristin Scheving (Iceland).  The poster is designed by Gabrielle Godbout.
","La 3e édition du Festival Ibrida*Pluri, événement pluridisciplinaire Montréalais se déroulera au centre d'artistes Eastern Bloc, les 27-28 Avril 2017.

Les organisateurs du festival, Sonya Stefan, Samuel Bobony et Guillaume Vallée, ont mis en place différentes performances fantasmées en proposant à plusieurs artistes visuels et sonores de travailler ensemble pour une première fois.

Cette édition, co-produite par Eastern Bloc, rassemblera plusieurs artistes audiovisuel(le)s québécois(es) et internationaux qui, pour l'occasion, offriront de nouvelles performances audiovisuelles exclusives au festival. 2 structures-partenaires Vidéographe et Kristin Scheving (Islande) présenteront un programme de court-métrages durant le festival (affiche par Gabrielle Godbout). 
",,,,,,
2009,EVENT,Interdimensional art show,/EVENTS/2009/Interdimensional_art,,,Interdimensional art show,,"Visionary art is a visual culmination of art and spirituality. This movement is known to incorporate symbols and ideas that have universal spiritual connotations. Visionary works are often technically elaborate, depicting detailed and colorful dimensions beyond our five senses. This kind of art is of extreme relevance in our era where spiritual evolution is a necessary step for humanity to overcome its destructive habits. 

Montréal Visionary artist Chris Dyer (Positive Creations) has been producing art in this style for many years, mostly spreading these kinds of images in the skateboard communities around the world and influencing the youth in a positive way. 
Dyer is also connected to the international visionary art communities and is spearheading the coordination and presentation of the artistic works. 

The Interdimensional Art Show is a collaboration between local head shop and event producer “Psychonaut”, Positive Creations and Dig.iT.aL (electronic mash-up DJs). The event also has the support from other Visionary organizations such as Meta Gallery in Toronto and Dew in British Columbia. This exhibition is also a stop in the “Interdimensional Art Tour” organised by Tribe 13, a well- known Seattle art and music collective. The tour will also have shows in San Francisco, Eugene and Seattle. The have been doing these shows for years and have shared the popularity of their name for our event in Montreal. 

This is the first major Visionary art show ever presented for the public of Montreal. It is taking place at “The Eastern Bloc”, an artist-run centre in Little Italy. The show will begin as an affordable public exhibit during the evening (5$ from 5pm to 9pm) and at night (9pm to 3am) the exhibit will transform into a visionary art and music party (12$ in advance, 15$ at door). The artwork will be showcased within the broader context of psychedelic and electronic music, including a performance by world-renowned electronic producer Speakerbruser (formally known as Sixtoo from Ninjatune records), as well as acts from Vancouver, Toronto and Montreal. The musical acts will be accompanied by VJ’s mixing visionary imagery and video compiled by top computer artists from around Canada. 

The event will also include a visionary arts and crafts market. There will be posters, cards, CDs, books, music, jewellery, clothing, etc, some of which will be included in a raffle. There will be face painting by April Anna, and live painting by Chris Dyer. Healthy and delicious vegetarian food will be available as well as drinks at moderate prices. 

","La première exposition internationale d’art visionnaire à Montréal, samedi le 9 mai 2009.

Positive Creations et Psychonaut présentent “The Interdimensional Art Show”, la première exposition internationale d’art visionnaire à Montréal. C’est une collaboration entre des artistes visionnaires et des musicians internationaux. Cette exposition incluera les oeuvres d’art appartenant à plus de trente artistes provenant de huit pays différents. 

L’art visionnaire est la culmination visuelle entre l’art et la spiritualité. Le mouvement visionnaire intègre des symboles et idées reliés à des concepts spirituels universels. Au niveau technique, les oeuvres visionnaires sont complexes, détaillées et typiquement très colorées, représentant les vastes dimensions énergétiques qui existent au-delà de nos cinq sens. De nos jours, ce mouvement artistique est pertinent car il touche à l’évolution spirituelle des êtres humains qui cherchent vaincre leurs habitudes destructrices. 

Chris Dyer (Positive Creations), un peintre visionnaire qui demeure à Montréal, fait partie de ce mouvement international et produit de l’art visionnaire depuis déjà plusieurs années. Ses peintures sont connues surtout dans le monde de l’art skateboard, et elles influencent de nombreux jeunes avec des messages visuels positifs. En tant qu’organisateur et collaborateur dans cette exposition, Dyer réalise la coordination de cet événement en s’alliant à d’autres members de la communauté visionnaire mondiale. 

Le “Interdimensional Art Show” est une collaboration entre le magasin Psychonaut (Montréal), Positive Creations (Montréal) et Dig.it.aL (des DJs mash-up montréalais). Cet événement reçoit du soutien d’autres organisations visionnaires comme Meta Gallery à Toronto et Dew en Colombie-Britannique. Cette exposition fera aussi partie d’une tournée nord-américaine nommée “Interdimensional Art Tour” organisée par le célèbre collectif artistique Tribe 13 (Seattle, Washington) qui planifie des expositions interdimensionnelles à San Francisco, Portland, Eugene et Seattle cette année. 

L’événement du 9 mai 2009 sera la première exposition d’art visionnaire à Montréal. Il aura lieu au Eastern Bloc, un centre d’arts émergents situé à Petite-Italie. Le show consistera d’une exposition publique à prix abordable durant la soirée (5$ de 17h à 21h) et se transformera en soirée festive pendant la nuit (10$ en avance, 15$ à la porte, de 21h à 3h du matin). Les oeuvres visuelles seront présentées dans le contexte de la musique électronique psychédélique, qui est souvent associée à l’art visionnaire. Il y aura des performances musicales par des artistes électroniques locaux et internationaux, dont le célèbre SPEAKERBRUISER (Vancouver) et d’autres artistes de Montréal et de Toronto. Les performances musicales seront accompagnées par des VJs locaux qui vont mixer des images et des vidéos visionnaires provenant d’artistes canadiens et internationaux. 

L’événement intégrera aussi un marché visionnaire où des affiches, des cartes, des livres, des disques, des vêtements et des produits artisanaux seront en vente. April Anna, une artiste montréalaise, va faire de la peinture corporelle et il y aura aussi la création d’une peinture en vif sur place par Chris Dyer. Des collations santé, des repas vegetarians délicieux et des boissons à prix abordable seront aussi disponibles.",,,,,,
2008,EVENT,Invitation to Blood,x,,,Invitation to Blood,,,,,,,,,
2011,EVENT,J.E.U.X,/EVENTS/2011/Jeux,,,J.E.U.X,"Stephen Ascher
Soufïa Bensaïd
Richard Flanagan
Marilyn Gabriel
Lynn Hughes
Julie Laporte
Mélanie Perrier
Cindy Poremba
Nathalie Quagliotto
Marie-Pier Théberge",,"J.E.U.X. est une exploration transdisciplinaire des relations entre le spectateur/joueur et le(s) créateur(s). Ces relations sont elles égalitaires ou existe-t-il une hiérarchie implicite ou explicite qui demanderait à être reconfigurée ? J.E.U.X. est une plateforme idéale pour le développement de formes d'art qui montrent des « systèmes de jeux » régis par différentes règles et en explorent les mécaniques et dynamiques. Sous l’impulsion d’Eastern Bloc et du Studio 303, les dispositifs présentés dans le cadre de J.E.U.X. font preuve de créativité, encouragent la participation, sollicitent les sens et sont pleinement ancrés dans une pensée critique. J.E.U.X. permettra avant tout d’explorer la notion de jeu, de découvrir des dispositifs interactifs, et de questionner la place du spectateur.",,,,,,
2009,EVENT,Jeremy And Friends,x,,,Jeremy And Friends,,,,,,,,,
2009,EVENT,Jesus Don’t Love You Like I Do,/EVENTS/2009/Jesus-dont-love,,,Jesus Don’t Love You Like I Do,"Jesus Don't Love You Like I Do
Bomb Camera
Marissa Hoicka
Ptench
Ghost Taco
Swellship",,,,,,,,
2009,EVENT,Kawaii,/EVENTS/2009/Kawaii,,,Kawaii,"NEUROVIRUS 
PROCYON LOTOR 
M.I.M.
FREAKTRONIK 
DEADFRAME LIVE 
CLAUDE L 
EZECKIEL
POCAILLE 
VJ POCAILLE 
VJ ALICEFFEKT 
VJ RA 
VJ MARKS.CO 
VJ +V ","CHROMOSOME SYNDICATE presents:
KAWAII. Anime - Harajuku Fashion - Electronic Music.","CHROMOSOME SYNDICATE présente:
KAWAII. Anime - Mode Harajuku - Musique électronique.",,,,,,
2009,EVENT,Lab Foundation,x,,,Lab Foundation,,,,,,,,,
2017,EVENT,Launch ESPACE art actuel + Struck / ture magazine ,x,,,Lancement magazine ESPACE art actuel + Struck/ture,"SIMON CHIOINI
ROB COSGROVE
TAKUTO FUKUDA
DANIEL MEYER
ZIHUA TAN
KAREN YU
KENNY WONG CHI-CHUEN","ESPACE ART ACTUEL MAGAZINE'S LAUNCH 

The newest issue of ESPACE art actuel, entitled ""Numérique/Digital"", reflecting on the contribution of digital technologies on sculptural and installation practices, will be launch this Saturday May 13th in partnership with Eastern Bloc. This festive and musical evening will be an opportunity for you to meet the team behind the magazine, buy the latest issue or even subscribe to an annual subscription!
","LANCEMENT MAGAZINE ESPACE ART ACTUEL 

Le lancement du plus récent n° 116 d'ESPACE art actuel (dossier : Numérique/Digital) s'inscrit dans une journée d'activités sonores en partenariat avec Eastern Bloc. C'est l'occasion idéale pour venir nous rencontrer, feuilleter nos derniers numéros et, surtout, vous abonner et vous procurer des exemplaires (à prix réduits !). Soirée festive et musicale ! 

Sommaire détaillé du n° 116:
Au cours des dernières décennies, le numérique a pris une place incontournable dans le domaine des arts visuels, notamment, dans les pratiques sculpturales et installatives. Mais, en quoi les technologies numériques viennent-elles influer sur la sculpture, tout particulièrement lorsqu’il s’agit d’imprimante 3D ? Comment les artistes sont-ils en mesure de développer leur œil critique, sinon visionnaire, sur ces nouvelles possibilités techniques ? Le présent dossier de la revue ESPACE art actuel tente de répondre à ces questions.

",,,,,,
2009,EVENT,Leopard Et Moi,/EVENTS/2009/Leopard-et-moi,,,Leopard Et Moi,"Leopard Et Moi
Trtl Soup
Night Goat
Dj Otherpeoplesmusic",,,,,,,,
2009,EVENT,Love + Hate,/EVENTS/2009/Love-and-Hate,,,Love + Hate,"Dreamcatcher 
Gambletron 
I SpeedBike
Iron Will
Karn 
Anna Lev
Lukeperil 
Radiate 
BLNDR
DJ Dalbray
DJ Errol
DJ ULIE D 
DJ Youth Contemporary
FirstSeed 
Nwodtlem  ","The premise is simple: 2 cities, 16 dj’s, 1/2 hour sets. Montreal. Toronto. Montreal. Toronto. Etc… less like a battle, more like a domestic dispute. And like a domestic dispute… there are no winners. Just a lot of fun. ",,,,,,,
2011,EVENT,Love + Hate,/EVENTS/2011/Love-and-Hate,,,Love + Hate,"Backdoor
Bratface
Fiberglasspants
Fishead
Imminent Domain
Ouananiche
Rubber Muffin
Rustic
The Company
Vipond",,,,,,,,
2014,EVENT,Ludovic Alarie: Album Launch,x,,,Ludovic Alarie: Lancement d’album,,,,,,,,,
2013,EVENT,Marché Cyclart,/EVENTS/2013/Marche_cyclart,,,Marché Cyclart,,,"Le Marché CyclArt, le rendez-vous annuel pour découvrir et acheter des œuvres inspirées du vélo, est de retour le samedi 7 décembre. Encore cette année, une trentaine d’artistes et d’artisans-récupérateurs dévoileront leurs créations uniques qu’il sera possible d’admirer et de se procurer : sacs en chambres à air, ceintures en pneu, boucles d’oreilles en maillon de chaîne, peintures, illustrations, etc. À l’approche du temps des Fêtes, c’est le moment idéal pour se procurer des cadeaux originaux et écoresponsables, dans une ambiance à la fois festive et décontractée.
 
Au programme, deux artistes de renom offriront des performances en direct : Karim Charlebois-Zariffa, concepteur multidisciplinaire, gagnant de nombreux prestigieux prix et conférencier à travers le monde ainsi que l’illustre sculpteur et peintre Armand Vaillancourt, que plusieurs nomment le Père de la sculpture moderne. Pour lui qui en est à sa 3e  participation, il se dit honoré de créer une œuvre sous le thème du vélo en utilisant des pièces récupérées, et d’ainsi les mettre à l’honneur en leur donnant une deuxième utilité.
 
Le Marché CyclArt est un événement bénéfice au profit de Cyclo Nord-Sud, un organisme qui recueille des vélos inutilisés au Québec pour les expédier aux communautés démunies des pays du Sud, où ils servent de moyen de transport et de gagne-pain pour lutter contre la pauvreté.",,,,,,
2009,EVENT,Massivart,x,,,Massivart,,Group show with musical performances until 1 am.,Exposition de groupe avec spectacles musicaux jusqu'à 1 heure du matin.,,,,,,
2009,EVENT,May-Day Spring Carnival,/EVENTS/2009/Mayday,,,May-Day Spring Carnival,"Jason Harvey
Cait Macintosh
Jasa & Ryan H
Nicole Roberge
Anna Luisa Daigneault
Sacha Miller
Camille Roch
Jason Vervegart
Rachel Crummey
Marisa Hoicka
Stefan Harhay
Rachel Shaw
Bronwen Moen
Natiea Vinson","Cohosted by the Eastern Bloc and Paper and Pine, May-Day is a one-night-only multidisciplinary carnival featuring over 20 Montreal artists. Artists are constructing booths that will fill the Eastern Bloc, transforming it temporarily into a fair celebrating May-Day. These booths will act as mini-installations and are going to vary from traditional carnival booths featuring games and food to extreme and impractical installations intent on immersing fair-goers. 

Paper and Pine will be putting on a raffle at May-Day, featuring the wares that they sell online, and, starting at 9:00, there will be variety show featuring plays, performances, dance, stand-up comedy and music. Later in the evening, there will be karaoke, dancing and bingo. 
",,,,,,,
2007,EVENT,Mental Bloc,/EVENTS/2007/Mental_Bloc,,,Mental Bloc,,,,,,,,,
2009,EVENT,Meow Mix,x,,,Meow Mix,,,,,,,,,
2009,EVENT,Mile-end Bike Prom,x,,,Bal de vélo du Mile-end ,,,,,,,,,
2008,EVENT,"More Gay, Less Married",/EVENTS/2008/More-Gay,,,"More Gay, Less Married",,,,,,,,,
